anio,trimestre,provincia,accesos por cada 100 hogares,variacion de los accesos por cada 100 hogares
2019,1,San Juan,31.83,-0.0021943573667712046
2019,1,San Luis,67.34,-0.0031088082901553626
2019,1,Santa Cruz,23.67,-0.0008442380751371159
2019,1,Santa Fe,66.97,0.021039792651318834
2019,1,Santiago Del Estero,37.52,0.0032085561497328108
2019,1,Tierra Del Fuego,93.38,-0.002243829468960401
2019,1,Tucumán,41.63,-0.0031130268199233146
2019,2,Buenos Aires,67.85,0.02430555555555558
2019,2,Capital Federal,110.55,0.012362637362637319
2019,2,Catamarca,32.13,-0.0018639328984154657
2019,2,Chaco,34.14,0.045955882352941124
2019,2,Chubut,46.99,0.09279069767441861
2019,2,Córdoba,68.07,0.03891941391941378
2019,2,Corrientes,38.16,0.08625106746370603
2019,2,Entre Ríos,57.48,0.012150026413100923
2019,2,Formosa,30.42,0.024932614555256194
2019,2,Jujuy,44.51,-0.04093945270415855
2019,2,La Pampa,77.08,0.009561231172233287
2019,2,La Rioja,48.7,-0.02949382223993613
2019,2,Mendoza,40.75,0.08204992033988323
2019,2,Misiones,39.15,0.07970215113072254
2019,2,Neuquén,63.08,0.07133152173913038
2019,2,Río Negro,61.09,0.14037707672204602
2019,2,Salta,41.89,0.044638403990024944
2019,2,San Juan,35.6,0.11844172164624589
2019,2,San Luis,81.79,0.2145827145827146
2019,2,Santa Cruz,28.85,0.21884241656104764
2019,2,Santa Fe,67.42,0.006719426608929435
2019,2,Santiago Del Estero,52.79,0.40698294243070343
2019,2,Tierra Del Fuego,94.8,0.01520668237309919
2019,2,Tucumán,40.14,-0.03579149651693492
2019,3,Buenos Aires,69.36,0.02225497420781153
2019,3,Capital Federal,112.65,0.018995929443690773
2019,3,Catamarca,30.88,-0.03890445066915671
2019,3,Chaco,35.85,0.05008787346221433
2019,3,Chubut,47.57,0.012343051713130437
2019,3,Córdoba,68.59,0.007639194946378769
2019,3,Corrientes,38.49,0.008647798742138502
2019,3,Entre Ríos,57.9,0.007306889352818313
2019,3,Formosa,30.11,-0.010190664036818009
2019,3,Jujuy,44.32,-0.004268703662098305
2019,3,La Pampa,77.45,0.004800207576543869
2019,3,La Rioja,47.94,-0.015605749486653053
2019,3,Mendoza,40.74,-0.00024539877300611135
2019,3,Misiones,39.33,0.0045977011494253706
2019,3,Neuquén,64.14,0.016804058338617756
2019,3,Río Negro,63.42,0.03814044851857901
2019,3,Salta,44.48,0.06182859871090951
2019,3,San Juan,37.06,0.04101123595505629
2019,3,San Luis,85.23,0.042058931409707734
2019,3,Santa Cruz,35.63,0.2350086655112651
2019,3,Santa Fe,68.87,0.02150697122515588
2019,3,Santiago Del Estero,55.3,0.04754688387952255
2019,3,Tierra Del Fuego,96.46,0.01751054852320677
2019,3,Tucumán,39.49,-0.01619332336821122
2019,4,Buenos Aires,64.25,-0.07367358708189153
2019,4,Capital Federal,106.25,-0.05681313803817134
2019,4,Catamarca,36.44,0.18005181347150256
2019,4,Chaco,36.84,0.02761506276150638
2019,4,Chubut,51.15,0.07525751524069779
2019,4,Córdoba,70.48,0.02755503717743113
2019,4,Corrientes,38.77,0.007274616783580212
2019,4,Entre Ríos,57.99,0.0015544041450776813
2019,4,Formosa,30.47,0.011956160743938904
2019,4,Jujuy,45.38,0.02391696750902539
2019,4,La Pampa,76.92,-0.006843124596513928
